id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name,binds
91,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC12CCC(CN)(C1)OC2.Cl,C#CCOc1ccc(CNc2nc(NCC34CCC(C)(CO3)C4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
94,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1CC(CN)C(C)O1,C#CCOc1ccc(CNc2nc(NCC3CC(C)OC3C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
97,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1CCc2nc(CN)sc2C1,C#CCOc1ccc(CNc2nc(NCc3nc4c(s3)CC(C)CC4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
100,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1Cc2cc(CN)ccc2O1,C#CCOc1ccc(CNc2nc(NCc3ccc4c(c3)CC(C)O4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
103,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCC(C)(O)CCN,C#CCOc1ccc(CNc2nc(NCCC(C)(O)CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
106,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCC1=NN(Cc2ccccc2C)C(=O)C1CCN,C#CCOc1ccc(CNc2nc(NCCC3C(=O)N(Cc4ccccc4C)N=C3CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
109,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCC1COCCN1CCN.Cl.Cl,C#CCOc1ccc(CNc2nc(NCCN3CCOCC3CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
112,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1c(C)csc1N,C#CCOc1ccc(CNc2nc(Nc3scc(C)c3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
115,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1c[nH]nc1N,C#CCOc1ccc(CNc2nc(Nc3n[nH]cc3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
118,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cc(N)[nH]n1,C#CCOc1ccc(CNc2nc(Nc3cc(C(=O)OCC)n[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
121,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cccnc1N,C#CCOc1ccc(CNc2nc(Nc3ncccc3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
124,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cnc(N)[nH]1,C#CCOc1ccc(CNc2nc(Nc3ncc(C(=O)OCC)[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
127,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cnn(C)c1N,C#CCOc1ccc(CNc2nc(Nc3c(C(=O)OCC)cnn3C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
130,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1coc(N)n1,C#CCOc1ccc(CNc2nc(Nc3nc(C(=O)OCC)co3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
133,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1nnc(N)o1,C#CCOc1ccc(CNc2nc(Nc3nnc(C(=O)OCC)o3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
136,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1nonc1N,C#CCOc1ccc(CNc2nc(Nc3nonc3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
139,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1sc(N)nc1C,C#CCOc1ccc(CNc2nc(Nc3nc(C)c(C(=O)OCC)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
142,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOc1cc2c(cc1CN)OC(C)C2.Cl,C#CCOc1ccc(CNc2nc(NCc3cc4c(cc3OCC)CC(C)O4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
145,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOc1ccnc(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(OCC)ccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
148,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCS(=O)CCN.Cl,C#CCOc1ccc(CNc2nc(NCCS(=O)CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
151,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCSc1ccc(CN)cc1,C#CCOc1ccc(CNc2nc(NCc3ccc(SCC)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
154,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCc1cc(N)n[nH]1,C#CCOc1ccc(CNc2nc(Nc3cc(CC)[nH]n3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
157,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCn1cc(N)c(C)n1,C#CCOc1ccc(CNc2nc(Nc3cn(CC)nc3C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
160,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCn1cc2cc(N)ccc2n1,C#CCOc1ccc(CNc2nc(Nc3ccc4nn(CC)cc4c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
163,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCn1nccc1CN,C#CCOc1ccc(CNc2nc(NCc3ccnn3CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
166,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)C(=O)C1CCC(CN)O1.Cl,C#CCOc1ccc(CNc2nc(NCC3CCC(C(=O)N(C)C)O3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
169,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)C(CN)c1ccco1,C#CCOc1ccc(CNc2nc(NCC(c3ccco3)N(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
172,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)C1(CN)CCSC1,C#CCOc1ccc(CNc2nc(NCC3(N(C)C)CCSC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
175,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)c1cccnc1CN,C#CCOc1ccc(CNc2nc(NCc3ncccc3N(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
178,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(CC(F)(F)F)C(=O)CN.Cl,C#CCOc1ccc(CNc2nc(NCC(=O)N(C)CC(F)(F)F)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
181,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(CCN)C1CCOCC1,C#CCOc1ccc(CNc2nc(NCCN(C)C3CCOCC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
184,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(Cc1ccco1)Cc1ccccc1CN,C#CCOc1ccc(CNc2nc(NCc3ccccc3CN(C)Cc3ccco3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
187,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CC(CCN)CC1=O,C#CCOc1ccc(CNc2nc(NCCC3CC(=O)N(C)C3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
190,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CC(CN)CC1=O,C#CCOc1ccc(CNc2nc(NCC3CC(=O)N(C)C3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
193,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(C(=O)CCN)CC1,C#CCOc1ccc(CNc2nc(NCCC(=O)N3CCN(C)CC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
196,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(Cc2cccc(N)c2)CC1,C#CCOc1ccc(CNc2nc(Nc3cccc(CN4CCN(C)CC4)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
199,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(Cc2ccccc2N)CC1,C#CCOc1ccc(CNc2nc(Nc3ccccc3CN3CCN(C)CC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
202,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(c2ccc(N)cc2F)CC1,C#CCOc1ccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
205,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)Cc1nc(N)sc1C,C#CCOc1ccc(CNc2nc(Nc3nc(CC(=O)OC)c(C)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
208,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1c[nH]c(C(=O)OC)c1N,C#CCOc1ccc(CNc2nc(Nc3c(C(=O)OC)c[nH]c3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
211,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1c[nH]nc1N,C#CCOc1ccc(CNc2nc(Nc3n[nH]cc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
214,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(Cl)ccc1N,C#CCOc1ccc(CNc2nc(Nc3ccc(Cl)cc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
217,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(Cl)nc(Cl)c1N,C#CCOc1ccc(CNc2nc(Nc3c(C(=O)OC)cc(Cl)nc3Cl)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
220,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(N)cc(F)c1,C#CCOc1ccc(CNc2nc(Nc3cc(F)cc(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
223,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(N)ccc1Cl,C#CCOc1ccc(CNc2nc(Nc3ccc(Cl)c(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
226,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(N)cs1,C#CCOc1ccc(CNc2nc(Nc3csc(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
229,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(OC)c(OC)cc1N,C#CCOc1ccc(CNc2nc(Nc3cc(OC)c(OC)cc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
232,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccc(N)cc1C,C#CCOc1ccc(CNc2nc(Nc3ccc(C(=O)OC)c(C)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
235,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccc(N)cc1O,C#CCOc1ccc(CNc2nc(Nc3ccc(C(=O)OC)c(O)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
238,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccc2nc(N)sc2c1,C#CCOc1ccc(CNc2nc(Nc3nc4ccc(C(=O)OC)cc4s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
241,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccnc(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(C(=O)OC)ccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
244,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccsc1N,C#CCOc1ccc(CNc2nc(Nc3sccc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
247,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cncc(N)c1,C#CCOc1ccc(CNc2nc(Nc3cncc(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
