id,bb1_smiles,bb2_smiles,bb3_smiles,molecule_smiles,protein_name,binds
32,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1cc(N)n[nH]1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)[nH]n3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
35,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ccc(O)c(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)ccc3O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
38,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ocnc1CN.Cl,C#CCOc1ccc(CNc2nc(NCc3ncoc3C(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
41,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,C#CCOc1ccc(CNc2nc(NCC(C)(CC(C)C)NC(=O)c3cc(Cl)c(Cl)[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
44,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)NC(=O)NCCN.Cl.Cl,C#CCOc1ccc(CNc2nc(NCCNC(=O)NC(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
47,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)c1nc(N)sc1Br,C#CCOc1ccc(CNc2nc(Nc3nc(C(C)C)c(Br)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
50,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CCN)S(C)=O,C#CCOc1ccc(CNc2nc(NCCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
53,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Cn1cccn1,C#CCOc1ccc(CNc2nc(NCC(C)Cn3cccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
56,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)OC(C)(C)C.Cl,C#CCOc1ccc(CNc2nc(NCC(C)OC(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
59,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Oc1ccc(Cl)cc1,C#CCOc1ccc(CNc2nc(NCC(C)Oc3ccc(Cl)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
62,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)S(C)=O,C#CCOc1ccc(CNc2nc(NCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
65,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Sc1ccccc1,C#CCOc1ccc(CNc2nc(NCC(C)Sc3ccccc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
68,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1c(Cl)cccc1Cl,C#CCOc1ccc(CNc2nc(NCC(C)c3c(Cl)cccc3Cl)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
71,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1nccs1,C#CCOc1ccc(CNc2nc(NCC(C)c3nccs3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
74,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)(CN)c1ccsc1,C#CCOc1ccc(CNc2nc(NCC(C)(O)c3ccsc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
77,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)CCN,C#CCOc1ccc(CNc2nc(NCCC(C)O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
80,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)CC(CN)C(C)(C)O1,C#CCOc1ccc(CNc2nc(NCC3CC(C)(C)OC3(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
83,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)NC(=O)N(CCCN)C1=O.Cl,C#CCOc1ccc(CNc2nc(NCCCN3C(=O)NC(C)(C)C3=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
86,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)OB(c2ccc(N)cc2)OC1(C)C,C#CCOc1ccc(CNc2nc(Nc3ccc(B4OC(C)(C)C(C)(C)O4)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
89,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(CN)CCC2(CC1)OCCO2,C#CCOc1ccc(CNc2nc(NCC3(C)CCC4(CC3)OCCO4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
92,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC12CCC(CN)(C1)OC2.Cl,C#CCOc1ccc(CNc2nc(NCC34CCC(C)(CO3)C4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
95,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1CC(CN)C(C)O1,C#CCOc1ccc(CNc2nc(NCC3CC(C)OC3C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
98,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1CCc2nc(CN)sc2C1,C#CCOc1ccc(CNc2nc(NCc3nc4c(s3)CC(C)CC4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
101,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1Cc2cc(CN)ccc2O1,C#CCOc1ccc(CNc2nc(NCc3ccc4c(c3)CC(C)O4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
104,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCC(C)(O)CCN,C#CCOc1ccc(CNc2nc(NCCC(C)(O)CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
107,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCC1=NN(Cc2ccccc2C)C(=O)C1CCN,C#CCOc1ccc(CNc2nc(NCCC3C(=O)N(Cc4ccccc4C)N=C3CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
110,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCC1COCCN1CCN.Cl.Cl,C#CCOc1ccc(CNc2nc(NCCN3CCOCC3CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
113,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1c(C)csc1N,C#CCOc1ccc(CNc2nc(Nc3scc(C)c3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
116,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1c[nH]nc1N,C#CCOc1ccc(CNc2nc(Nc3n[nH]cc3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
119,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cc(N)[nH]n1,C#CCOc1ccc(CNc2nc(Nc3cc(C(=O)OCC)n[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
122,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cccnc1N,C#CCOc1ccc(CNc2nc(Nc3ncccc3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
125,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cnc(N)[nH]1,C#CCOc1ccc(CNc2nc(Nc3ncc(C(=O)OCC)[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
128,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1cnn(C)c1N,C#CCOc1ccc(CNc2nc(Nc3c(C(=O)OCC)cnn3C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
131,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1coc(N)n1,C#CCOc1ccc(CNc2nc(Nc3nc(C(=O)OCC)co3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
134,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1nnc(N)o1,C#CCOc1ccc(CNc2nc(Nc3nnc(C(=O)OCC)o3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
137,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1nonc1N,C#CCOc1ccc(CNc2nc(Nc3nonc3C(=O)OCC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
140,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOC(=O)c1sc(N)nc1C,C#CCOc1ccc(CNc2nc(Nc3nc(C)c(C(=O)OCC)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
143,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOc1cc2c(cc1CN)OC(C)C2.Cl,C#CCOc1ccc(CNc2nc(NCc3cc4c(cc3OCC)CC(C)O4)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
146,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCOc1ccnc(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(OCC)ccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
149,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCS(=O)CCN.Cl,C#CCOc1ccc(CNc2nc(NCCS(=O)CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
152,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCSc1ccc(CN)cc1,C#CCOc1ccc(CNc2nc(NCc3ccc(SCC)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
155,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCc1cc(N)n[nH]1,C#CCOc1ccc(CNc2nc(Nc3cc(CC)[nH]n3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
158,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCn1cc(N)c(C)n1,C#CCOc1ccc(CNc2nc(Nc3cn(CC)nc3C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
161,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCn1cc2cc(N)ccc2n1,C#CCOc1ccc(CNc2nc(Nc3ccc4nn(CC)cc4c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
164,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CCn1nccc1CN,C#CCOc1ccc(CNc2nc(NCc3ccnn3CC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
167,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)C(=O)C1CCC(CN)O1.Cl,C#CCOc1ccc(CNc2nc(NCC3CCC(C(=O)N(C)C)O3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
170,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)C(CN)c1ccco1,C#CCOc1ccc(CNc2nc(NCC(c3ccco3)N(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
173,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)C1(CN)CCSC1,C#CCOc1ccc(CNc2nc(NCC3(N(C)C)CCSC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
176,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(C)c1cccnc1CN,C#CCOc1ccc(CNc2nc(NCc3ncccc3N(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
179,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(CC(F)(F)F)C(=O)CN.Cl,C#CCOc1ccc(CNc2nc(NCC(=O)N(C)CC(F)(F)F)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
182,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(CCN)C1CCOCC1,C#CCOc1ccc(CNc2nc(NCCN(C)C3CCOCC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
185,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN(Cc1ccco1)Cc1ccccc1CN,C#CCOc1ccc(CNc2nc(NCc3ccccc3CN(C)Cc3ccco3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
188,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CC(CCN)CC1=O,C#CCOc1ccc(CNc2nc(NCCC3CC(=O)N(C)C3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
191,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CC(CN)CC1=O,C#CCOc1ccc(CNc2nc(NCC3CC(=O)N(C)C3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
194,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(C(=O)CCN)CC1,C#CCOc1ccc(CNc2nc(NCCC(=O)N3CCN(C)CC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
197,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(Cc2cccc(N)c2)CC1,C#CCOc1ccc(CNc2nc(Nc3cccc(CN4CCN(C)CC4)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
200,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(Cc2ccccc2N)CC1,C#CCOc1ccc(CNc2nc(Nc3ccccc3CN3CCN(C)CC3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
203,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CN1CCN(c2ccc(N)cc2F)CC1,C#CCOc1ccc(CNc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
206,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)Cc1nc(N)sc1C,C#CCOc1ccc(CNc2nc(Nc3nc(CC(=O)OC)c(C)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
209,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1c[nH]c(C(=O)OC)c1N,C#CCOc1ccc(CNc2nc(Nc3c(C(=O)OC)c[nH]c3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
212,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1c[nH]nc1N,C#CCOc1ccc(CNc2nc(Nc3n[nH]cc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
215,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(Cl)ccc1N,C#CCOc1ccc(CNc2nc(Nc3ccc(Cl)cc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
218,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(Cl)nc(Cl)c1N,C#CCOc1ccc(CNc2nc(Nc3c(C(=O)OC)cc(Cl)nc3Cl)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
221,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(N)cc(F)c1,C#CCOc1ccc(CNc2nc(Nc3cc(F)cc(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
224,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(N)ccc1Cl,C#CCOc1ccc(CNc2nc(Nc3ccc(Cl)c(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
227,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(N)cs1,C#CCOc1ccc(CNc2nc(Nc3csc(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
230,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cc(OC)c(OC)cc1N,C#CCOc1ccc(CNc2nc(Nc3cc(OC)c(OC)cc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
233,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccc(N)cc1C,C#CCOc1ccc(CNc2nc(Nc3ccc(C(=O)OC)c(C)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
236,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccc(N)cc1O,C#CCOc1ccc(CNc2nc(Nc3ccc(C(=O)OC)c(O)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
239,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccc2nc(N)sc2c1,C#CCOc1ccc(CNc2nc(Nc3nc4ccc(C(=O)OC)cc4s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
242,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccnc(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(C(=O)OC)ccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
245,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1ccsc1N,C#CCOc1ccc(CNc2nc(Nc3sccc3C(=O)OC)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
248,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,COC(=O)c1cncc(N)c1,C#CCOc1ccc(CNc2nc(Nc3cncc(C(=O)OC)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
